h approx_res analytical_res
7.1 0.99994 0.99994
7.11 0.999941 0.999941
7.12 0.999942 0.999942
7.13 0.999944 0.999944
7.14 0.999945 0.999945
7.15 0.999946 0.999946
7.16 0.999947 0.999947
7.17 0.999949 0.999949
7.18 0.99995 0.99995
7.19 0.999951 0.999951
7.2 0.999952 0.999952
7.21 0.999953 0.999953
7.22 0.999954 0.999954
7.23 0.999955 0.999955
7.24 0.999956 0.999956
7.25 0.999957 0.999957
7.26 0.999958 0.999958
7.27 0.999959 0.999959
7.28 0.99996 0.99996
7.29 0.999961 0.999961
7.3 0.999962 0.999962
7.31 0.999963 0.999963
7.32 0.999964 0.999964
7.33 0.999965 0.999965
7.34 0.999966 0.999966
7.35 0.999966 0.999966
7.36 0.999967 0.999967
7.37 0.999968 0.999968
7.38 0.999969 0.999969
7.39 0.99997 0.99997
7.4 0.99997 0.99997
7.41 0.999971 0.999971
7.42 0.999972 0.999972
7.43 0.999972 0.999972
7.44 0.999973 0.999973
7.45 0.999974 0.999974
7.46 0.999974 0.999974
7.47 0.999975 0.999975
7.48 0.999975 0.999976
7.49 0.999976 0.999976
7.5 0.999977 0.999977
7.51 0.999977 0.999977
7.52 0.999978 0.999978
7.53 0.999978 0.999978
7.54 0.999979 0.999979
7.55 0.999979 0.999979
7.56 0.99998 0.99998
7.57 0.99998 0.99998
7.58 0.999981 0.999981
7.59 0.999981 0.999981
7.6 0.999982 0.999982
7.61 0.999982 0.999982
7.62 0.999983 0.999983
7.63 0.999983 0.999983
7.64 0.999983 0.999983
7.65 0.999984 0.999984
7.66 0.999984 0.999984
7.67 0.999985 0.999985
7.68 0.999985 0.999985
7.69 0.999985 0.999985
7.7 0.999986 0.999986
7.71 0.999986 0.999986
7.72 0.999986 0.999986
7.73 0.999987 0.999987
7.74 0.999987 0.999987
7.75 0.999987 0.999987
7.76 0.999988 0.999988
7.77 0.999988 0.999988
7.78 0.999988 0.999988
7.79 0.999989 0.999989
7.8 0.999989 0.999989
7.81 0.999989 0.999989
7.82 0.999989 0.999989
7.83 0.99999 0.99999
7.84 0.99999 0.99999
7.85 0.99999 0.99999
7.86 0.99999 0.99999
7.87 0.999991 0.999991
7.88 0.999991 0.999991
7.89 0.999991 0.999991
7.9 0.999991 0.999991
7.91 0.999992 0.999992
7.92 0.999992 0.999992
7.93 0.999992 0.999992
7.94 0.999992 0.999992
7.95 0.999992 0.999992
7.96 0.999993 0.999993
7.97 0.999993 0.999993
7.98 0.999993 0.999993
7.99 0.999993 0.999993
8 0.999993 0.999993
8.01 0.999994 0.999994
8.02 0.999994 0.999994
8.03 0.999994 0.999994
8.04 0.999994 0.999994
8.05 0.999994 0.999994
8.06 0.999994 0.999994
8.07 0.999994 0.999994
8.08 0.999995 0.999995
8.09 0.999995 0.999995
8.1 0.999995 0.999995
8.11 0.999995 0.999995
8.12 0.999995 0.999995
8.13 0.999995 0.999995
8.14 0.999995 0.999995
8.15 0.999995 0.999996
8.16 0.999996 0.999996
8.17 0.999996 0.999996
8.18 0.999996 0.999996
8.19 0.999996 0.999996
8.2 0.999996 0.999996
8.21 0.999996 0.999996
8.22 0.999996 0.999996
8.23 0.999996 0.999996
8.24 0.999996 0.999996
8.25 0.999997 0.999997
8.26 0.999997 0.999997
8.27 0.999997 0.999997
8.28 0.999997 0.999997
8.29 0.999997 0.999997
8.3 0.999997 0.999997
8.31 0.999997 0.999997
8.32 0.999997 0.999997
8.33 0.999997 0.999997
8.34 0.999997 0.999997
8.35 0.999997 0.999997
8.36 0.999997 0.999997
8.37 0.999997 0.999998
8.38 0.999998 0.999998
8.39 0.999998 0.999998
8.4 0.999998 0.999998
8.41 0.999998 0.999998
8.42 0.999998 0.999998
8.43 0.999998 0.999998
8.44 0.999998 0.999998
8.45 0.999998 0.999998
8.46 0.999998 0.999998
8.47 0.999998 0.999998
8.48 0.999998 0.999998
8.49 0.999998 0.999998
8.5 0.999998 0.999998
8.51 0.999998 0.999998
8.52 0.999998 0.999998
8.53 0.999998 0.999998
8.54 0.999998 0.999998
8.55 0.999998 0.999998
8.56 0.999999 0.999999
8.57 0.999999 0.999999
8.58 0.999999 0.999999
8.59 0.999999 0.999999
8.6 0.999999 0.999999
8.61 0.999999 0.999999
8.62 0.999999 0.999999
8.63 0.999999 0.999999
8.64 0.999999 0.999999
8.65 0.999999 0.999999
8.66 0.999999 0.999999
8.67 0.999999 0.999999
8.68 0.999999 0.999999
8.69 0.999999 0.999999
8.7 0.999999 0.999999
8.71 0.999999 0.999999
8.72 0.999999 0.999999
8.73 0.999999 0.999999
8.74 0.999999 0.999999
8.75 0.999999 0.999999
8.76 0.999999 0.999999
8.77 0.999999 0.999999
8.78 0.999999 0.999999
8.79 0.999999 0.999999
8.8 0.999999 0.999999
8.81 0.999999 0.999999
8.82 0.999999 0.999999
8.83 0.999999 0.999999
8.84 0.999999 0.999999
8.85 0.999999 0.999999
8.86 0.999999 0.999999
8.87 0.999999 0.999999
8.88 0.999999 0.999999
8.89 0.999999 0.999999
8.9 0.999999 0.999999
8.91 0.999999 0.999999
8.92 0.999999 0.999999
8.93 0.999999 0.999999
8.94 0.999999 0.999999
8.95 1 1
8.96 1 1
8.97 1 1
8.98 1 1
8.99 1 1
9 1 1
9.01 1 1
9.02 1 1
9.03 1 1
9.04 1 1
9.05 1 1
9.06 1 1
9.07 1 1
9.08 1 1
9.09 1 1
9.1 1 1
9.11 1 1
9.12 1 1
9.13 1 1
9.14 1 1
9.15 1 1
9.16 1 1
9.17 1 1
9.18 1 1
9.19 1 1
9.2 1 1
9.21 1 1
9.22 1 1
9.23 1 1
9.24 1 1
9.25 1 1
9.26 1 1
9.27 1 1
9.28 1 1
9.29 1 1
9.3 1 1
9.31 1 1
9.32 1 1
9.33 1 1
9.34 1 1
9.35 1 1
9.36 1 1
9.37 1 1
9.38 1 1
9.39 1 1
9.4 1 1
9.41 1 1
9.42 1 1
9.43 1 1
9.44 1 1
9.45 1 1
9.46 1 1
9.47 1 1
9.48 1 1
9.49 1 1
9.5 1 1
9.51 1 1
9.52 1 1
9.53 1 1
9.54 1 1
9.55 1 1
9.56 1 1
9.57 1 1
9.58 1 1
9.59 1 1
9.6 1 1
9.61 1 1
9.62 1 1
9.63 1 1
9.64 1 1
9.65 1 1
9.66 1 1
9.67 1 1
9.68 1 1
9.69 1 1
9.7 1 1
9.71 1 1
9.72 1 1
9.73 1 1
9.74 1 1
9.75 1 1
9.76 1 1
9.77 1 1
9.78 1 1
9.79 1 1
9.8 1 1
9.81 1 1
9.82 1 1
9.83 1 1
9.84 1 1
9.85 1 1
9.86 1 1
9.87 1 1
9.88 1 1
9.89 1 1
9.9 1 1
9.91 1 1
9.92 1 1
9.93 1 1
9.94 1 1
9.95 1 1
9.96 1 1
9.97 1 1
9.98 1 1
9.99 1 1
10 1 1
10.01 1 1
10.02 1 1
10.03 1 1
10.04 1 1
10.05 1 1
10.06 1 1
10.07 1 1
10.08 1 1
10.09 1 1
10.1 1 1
10.11 1 1
10.12 1 1
10.13 1 1
10.14 1 1
10.15 1 1
10.16 1 1
10.17 1 1
10.18 1 1
10.19 1 1
10.2 1 1
10.21 1 1
10.22 1 1
10.23 1 1
10.24 1 1
10.25 1 1
10.26 1 1
10.27 1 1
10.28 1 1
10.29 1 1
10.3 1 1
10.31 1 1
10.32 1 1
10.33 1 1
10.34 1 1
10.35 1 1
10.36 1 1
10.37 1 1
10.38 1 1
10.39 1 1
10.4 1 1
10.41 1 1
10.42 1 1
10.43 1 1
10.44 1 1
10.45 1 1
10.46 1 1
10.47 1 1
10.48 1 1
10.49 1 1
10.5 1 1
10.51 1 1
10.52 1 1
10.53 1 1
10.54 1 1
10.55 1 1
10.56 1 1
10.57 1 1
10.58 1 1
10.59 1 1
10.6 1 1
10.61 1 1
10.62 1 1
10.63 1 1
10.64 1 1
10.65 1 1
10.66 1 1
10.67 1 1
10.68 1 1
10.69 1 1
10.7 1 1
10.71 1 1
10.72 1 1
10.73 1 1
10.74 1 1
10.75 1 1
10.76 1 1
10.77 1 1
10.78 1 1
10.79 1 1
10.8 1 1
10.81 1 1
10.82 1 1
10.83 1 1
10.84 1 1
10.85 1 1
10.86 1 1
10.87 1 1
10.88 1 1
10.89 1 1
10.9 1 1
10.91 1 1
10.92 1 1
10.93 1 1
10.94 1 1
10.95 1 1
10.96 1 1
10.97 1 1
10.98 1 1
